number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
44287,플랫.106,경상남도 창원시 마산회원구 양덕동 62-82번지 지상1층 ,"경상남도 창원시 마산회원구 산호천동길 106 (양덕동, 지상1층)",20130320,운영중,,,,,,,상수도전용,,2013,N,,56.61,,기타,휴게음식점,커피숍,
44288,플랫492,경기도 성남시 중원구 여수동 492번지 1층 ,"경기도 성남시 중원구 여수울로15번길 22-8, 1층 (여수동)",20150408,운영중,,,,,,,,,2015,N,,55.27,,,휴게음식점,커피숍,
44289,플랫492(Flat492),"경기도 성남시 중원구 여수동 492번지 ,1층 ","경기도 성남시 중원구 여수울로15번길 22-8, 1층 (여수동)",20140722,폐업 등,20141103,,,,,,,,2014,N,,54.77,,,휴게음식점,커피숍,
44290,플랫빈(Flat Bean),서울특별시 영등포구 양평동4가 278-4번지 1층 ,"서울특별시 영등포구 선유로54길 7 (양평동4가, 1층)",20141014,운영중,,,,,,,,,2014,N,,82.5,,,휴게음식점,커피숍,
44291,플랫일공일,경기도 수원시 장안구 천천동 561-1번지 101호,"경기도 수원시 장안구 하률로12번길 10, 1층 101호 (천천동)",20121109,운영중,,,,,,,,,2012,N,,22.91,,,휴게음식점,커피숍,
44292,플랫폼,인천광역시 계양구 작전동 286-2번지 농협하나로클럽 1층 ,"인천광역시 계양구 아나지로 341, 1층 (작전동, 하나로클럽 )",20150128,운영중,,,,,,,,,2015,N,,23.7,,,휴게음식점,커피숍,
44293,플랫폼,인천광역시 계양구 작전동 286-2번지 하나로클럽 인천점 1층 일부 ,"인천광역시 계양구 아나지로 341 (작전동, 하나로클럽 인천점 1층 일부)",20130527,폐업 등,20150127,,,,,,,,2013,N,,23.78,,,휴게음식점,커피숍,
44294,플랫폼,인천광역시 계양구 작전동 286-2번지 1층 ,"인천광역시 계양구 아나지로 341, 1층 (작전동)",20100423,폐업 등,20131226,,,,,,,,2010,N,,29,,,휴게음식점,커피숍,
44295,플랫폼 엘(L),대구광역시 동구 신서동 1149-6번지 ,"대구광역시 동구 첨복로 27, 103호 (신서동, 해도빌딩)",20140929,운영중,,,,,,,상수도전용,,2014,N,자율,56.1,,기타,휴게음식점,커피숍,
44296,플랫폼엘,경기도 수원시 팔달구 팔달로3가 97-3번지 ,경기도 수원시 팔달구 정조로 775-3 (팔달로3가),20141016,운영중,,,,,,,상수도전용,,2014,N,,90.66,,,휴게음식점,커피숍,
44297,플랫폼엘,충청남도 공주시 신관동 280-29번지 (1층) ,충청남도 공주시 신금1길 48 (신관동),20120314,운영중,,,,,,,상수도전용,,2012,N,,53.4,,,휴게음식점,커피숍,
44298,플랫픽(FLATFIC),서울특별시 영등포구 문래동3가 54-39번지 2층 ,"서울특별시 영등포구 도림로128가길 13-8, 2층 (문래동3가)",20121130,폐업 등,20150305,,,,,,,,2012,N,,79.2,,,휴게음식점,커피숍,
